_obj ID,_obj type,_county,_estate,_latitude,_longitude,_accuracy,_distance from Daugava,_spelling,_language,_standardized,DELETE,_source,_match factor,_comment,_etymology,_alternative etymology,_inherited,_reliability,_source language,_attestation,_meaning,_category,_name,_period,_source text,_editor
elksnukalni,house,221 uogresgals,sprēstiņi,"56,7773","24,6890",0,no,elkšņukalni,latvian,unclear,,LĢIA 119719,n/a,no comment,"nom.pl. of èlkšņukal̂ns 'alder hill.' | Syntagm of gen.pl. of èlksnis 'alder' and kal̂ns 'hill, mountain.' | AK.",no comment,recent,reliable,original word,latvian,alder hill,landscape; trees and shrubs,no,modern,no comment,aigars
elksnukalns,house,216 ikšķile,ikšķile,"56,8197","24,5314",0,no,elkšņukalns,latvian,yes,,"E 1922, 39",medium,toponyms differ somewhat,"èlkšņukal̂ns 'alder hill.' | Syntagm of gen.pl. of èlksnis 'alder' and kal̂ns 'hill, mountain.' | AK.",no comment,recent,reliable,original word,latvian,alder hill,landscape; trees and shrubs,no,modern,no comment,aigars
elksnukalns,house,216 ikšķile,ikšķile,"56,8197","24,5314",0,no,elkšņi,latvian,unclear,,LĢIA 119701,medium,toponyms differ somewhat,"nom.pl. of èlksnis 'alder.' Also a FN (LUV), cf. also Lt. Al̃ksnis (LPDB) Po. Olcha (ISNP) HG Erle (DFD). | V of àlksnis. Cognate with Lt. al̃ksnis~el̃ksnis and further related to Ru. ol'xá dial. ëlxa Lat. alnus OHG elira ON ǫlr a.o. Unclear whether we are dealing with an inherited lexeme or a (substrate?) loanword. In any case the Baltic forms probably show k-epenthesis and perhaps also syncope of the i and transfer to the ii̯o-stems from the o-stems. If so, then we might reconstruct *alisnos~*elisnos which brings the Baltic forms closer to the Latin. | ALEW s.v. alìksnis; Derksen 2015, 50; LEW 8 s.v. al̃ksnis; ME 1, 68 s.v. àlksnis; 1, 567 s.v. èlksnis; SEJL 18 s.v. al̃ksnis.",no comment,borrowed,reliable,palaeo-european,european,alder,trees and shrubs,yes,modern,no comment,aigars
elzas,house,507 skaista (izabelinas until 1925),unclear,"55,8482","27,3321",0,no,elzas,latvian,unclear,,LĢIA 125826,,extant,lv elza (name),from ge elsa,borrowed,reliable,german,,Elsa,foreign names (aramaic and hebrew); foreign names (germanic),no,modern,no comment,aigars
emalans,house,220 daugmale,unclear,"56,8241","24,4276",0,no,emalāns,latvian,unclear,,AŠĢTD 39,n/a,no comment,"nom.sg. emalāns 'of Immanuel.' | āns-derivation to PN Emals (LPV 115), HC to Emanuels, V of Imanuels 'Immanuel.' Ultimately from BHe. ʻimanu ʼel 'God is with us' (LPV 163). | AK.",no comment,borrowed,unclear,biblical hebrew,latvian,of Immanuel,foreign names (aramaic and hebrew),possibly,modern,no comment,aigars
enkuraji,house,227 lielvārde,lielvārdes māc. mž.,"56,6831","24,8963",0,no,enkurāji,latvian,n/a,0,LĢIA 40586,,no comment,"nom.pl. ȩñkurãjs 'anchorage' vel sim. | āja-derivation to ȩñkurs 'anchor.' Borrowed from HG, cf. HG dial. Enker. | ME 1, 570 s.v. ȩñkurs.",no comment,,,,,anchorage,fishery and navigation,no,modern,no comment,aigars
enkuri,house,444 nīcgale (part of 450 līksna until 1936),unclear,"56,0922","26,3409",0,no,enkuri,latvian,n/a,< 2,LĢIA 130834,,no comment,"nom.pl. of ȩñkurs 'anchor.' Also a FN (LUV). | Borrowed from HG, cf. HG dial. Enker. | ME 1, 570.",no comment,,,,,anchor,fishery and navigation,yes,modern,no comment,aigars
erdaleni,house,435 dignāja,unclear,,,,no,ȩ̄rdalȩ̄ni,latvian,yes,,"E 1925, 57",,no comment,"nom.pl. of ȩ̄̀rdalȩ̃ns 'eagle chick' or perhaps 'eagle trainer.' Probably also a FN, cf. Erdlāns (LUV). | V of ȩ̄̀rglȩ̃ns < *ȩ̄̀rdlȩ̃ns with anaptyxis to avoid dl > gl. ēna-derivation to ȩ̄̀rglis 'eagle' (Lt. erẽlis). | ME 1, 575 s.v. ȩ̄̀rglis.",no comment,,,,,eagle chick; eagle trainer,birds; domestic animals and animal husbandry,possibly,modern,no comment,aigars
erdaleni,house,435 dignāja,unclear,,,,no,ȩ̄rdlȩ̄ni,latvian,yes,,"E 1925, 57",,no comment,"nom.pl. of ȩ̄̀rdlȩ̃ns 'eagle chick' or perhaps 'eagle trainer.' Probably also a FN, cf. Erdlāns (LUV). | V of ȩ̄̀rglȩ̃ns without dl > gl. ēna-derivation to ȩ̄̀rglis 'eagle' (Lt. erẽlis). | ME 1, 575 s.v. ȩ̄̀rglis.",no comment,,,,,eagle chick; eagle trainer,birds; other,possibly,modern,no comment,aigars
erdaleni,house,435 dignāja,unclear,,,,no,ȩ̄rg[lȩ̄ni],latvian,yes,,"E 1925, 57",,no comment,"nom.pl. of ȩ̄̀rglȩ̃ns 'eagle chick' or perhaps 'eagle trainer.' Also a FN, cf. Ērglāns (LUV). | ēna-derivation to ȩ̄̀rglis 'eagle' (Lt. erẽlis). | ME 1, 575 s.v. ȩ̄̀rglis.",no comment,,,,,eagle chick; eagle trainer,birds; other,yes,modern,no comment,aigars
erdlani,village,435 dignāja,unclear,"56,4188","26,0562",0,no,erdlani,latvian,unclear,,LĢIA 136507; AŠĢTD 77,,must be close,"nom.pl. of ȩ̄̀rdlȩ̃ns 'eagle chick' or perhaps 'eagle trainer.' Probably also a FN, cf. Erdlāns (LUV). | V of ȩ̄̀rglȩ̃ns without dl > gl. ēna-derivation to ȩ̄̀rglis 'eagle' (Lt. erẽlis). | ME 1, 575 s.v. ȩ̄̀rglis.",no comment,,,,,eagle chick; eagle trainer,birds; other,possibly,modern,no comment,aigars
erdlani,village,435 dignāja,unclear,"56,4188","26,0562",0,no,ērdlāni,latvian,unclear,,LĢIA 136507,,must be close,"nom.pl. of ȩ̄̀rdlȩ̃ns 'eagle chick' or perhaps 'eagle trainer.' Probably also a FN, cf. Erdlāns (LUV). | V of ȩ̄̀rglȩ̃ns without dl > gl. ēna-derivation to ȩ̄̀rglis 'eagle' (Lt. erẽlis). | ME 1, 575 s.v. ȩ̄̀rglis.",no comment,,,,,eagle chick; eagle trainer,birds; other,possibly,modern,no comment,aigars
erdlani,village,435 dignāja,unclear,"56,4188","26,0562",0,no,dzintari,latvian,unclear,,LĢIA 136507,,must be close,"nom.pl. of dziñtars 'amber.' Also a PN and a FN (LUV), cf. Lt. Giñtaras (LPDB) Po. Burszta (ISNP). | Curonianism, doublet of dzĩtars and cognate with Lt. gintãras. Further related to Ru. jantár' etc. Unclear origin. | ALEW s.v. giñtaras; Karulis 2001, 254; LEW 152; ME 1, 552 s.v. dziñtars; 1, 559 s.v. dzĩtars; SEJL 328.",no comment,inherited,reliable,original word,east baltic,amber,minerals and mining,yes,modern,no comment,aigars
erdlani,village,435 dignāja,unclear,"56,4188","26,0562",0,no,rubuļkalns,latvian,unclear,,LĢIA 136507,,must be close,"rubuļkal̂ns 'ruble hill.' | Compound of rubulis 'ruble; medal' and kal̂ns 'hill, mountain.' | AK.",no comment,recent,reliable,original word,latvian,ruble hill,economy and labor; landscape,no,modern,no comment,aigars
ergli 1,house,355 sēlpils,unclear,"56,5689","25,5311",0,no,ērgļi,latvian,unclear,,LĢIA 45883,n/a,no comment,"nom.pl. of ḕrglis 'eagle.' | From *ḕr(d)lis. Cognate with Lt. erẽlis OPr. arelis and further related to OCS orьlъ Go. ara Gr. ὄρνις 'bird' a.o. | ALEW s.v. erẽlis; Derksen 2015, 155; LEW 122; ME 1, 575; SEJL 276.",no comment,inherited,reliable,original word,baltic,eagle,birds,,modern,no comment,aigars
ergli 2,house,435 dignāja,unclear,"56,2250","26,1834",0,no,ērgļi,latvian,yes,,"E 1925, 56; LĢIA 55615",high,no comment,"nom.pl. of ḕrglis 'eagle.' | From *ḕr(d)lis. Cognate with Lt. erẽlis OPr. arelis and further related to OCS orьlъ Go. ara Gr. ὄρνις 'bird' a.o. | ALEW s.v. erẽlis; Derksen 2015, 155; LEW 122; ME 1, 575; SEJL 276.",no comment,inherited,reliable,original word,baltic,eagle,birds,,modern,no comment,aigars
ergli 3,house,458 saliena,unclear,"55,8712","26,9143",0,no,ērgļi,latvian,unclear,,LĢIA 63000,n/a,no comment,"nom.pl. of ḕrglis 'eagle.' | From *ḕr(d)lis. Cognate with Lt. erẽlis OPr. arelis and further related to OCS orьlъ Go. ara Gr. ὄρνις 'bird' a.o. | ALEW s.v. erẽlis; Derksen 2015, 155; LEW 122; ME 1, 575; SEJL 276.",no comment,inherited,reliable,original word,baltic,eagle,birds,,modern,no comment,aigars
erglisi,house,455 svente,unclear,"55,9459","26,3920",0,no,ērglīši,latvian,unclear,,LĢIA 126054,n/a,no comment,"nom.pl. of D to ḕrglis 'eagle.' | From *ḕr(d)lis. Cognate with Lt. erẽlis OPr. arelis and further related to OCS orьlъ Go. ara Gr. ὄρνις 'bird' a.o. | ALEW s.v. erẽlis; Derksen 2015, 155; LEW 122; ME 1, 575; SEJL 276.",no comment,inherited,reliable,original word,baltic,eagle,birds,,modern,no comment,aigars
esplanade,neighborhood,daugavpils,unclear,"55,8751","26,5153",0,no,esplanāde,latvian,n/a,< 2,LĢIA 61298,,extant,esplanāde 'esplanade.' | Borrowed from Fr. esplanade.,no comment,,,,,esplanade,infrastucture and facilities,no,modern,no comment,aigars
esplanade,neighborhood,daugavpils,unclear,"55,8751","26,5153",0,no,centrs,latvian,n/a,< 2,LĢIA 61298,,extant,centrs 'center.' | Borrowed from Gr. κέντρον 'point.' ,no comment,,,,,center,orientation,no,modern,no comment,aigars
ezeri,house,450 līksna,unclear,"56,0160","26,3768",0,no,ezeri,latvian,unclear,,LĢIA 132721,n/a,no comment,"nom.pl. of ȩzȩrs 'lake.' Also a FN (LUV), cf. Po. Jezioro (ISNP). | Cognate with Lt. ẽžeras OPr. assaran Ru. ózero OCS jezero a.o. as well as Arm. ezr 'edge, bank.' The inherited r-stem has been thematicized in BS. | ALEW s.v. ẽžeras; Derksen 2015, 158; LEW 125; ME 1, 572; SEJL 279.",no comment,inherited,reliable,original word,indo-european,lake,landscape,yes,modern,no comment,aigars
ezerini,house,455 svente,unclear,"55,9295","26,4273",0,no,ezeriņi,latvian,unclear,,LĢIA 126124,n/a,no comment,"nom.pl. of ezeriņš, synchronically D to ȩzȩrs 'lake.' Also a FN (LUV), cf. Po. Jeziorek (ISNP). | inis-derivation originally in a purely associative sense to ȩzȩrs 'lake,' cf. Lt. ežerìnis 'lake-' to Lt. ẽžeras. Lv. ȩzȩrs also cognate with OPr. assaran Ru. ózero OCS jezero a.o. as well as Arm. ezr 'edge, bank.' The inherited r-stem has been thematicized in BS. | ALEW s.v. ẽžeras; Derksen 2015, 158 s.v. ežeras; LEW 125 s.v. ẽžeras; ME 1, 572 s.v. ȩzȩrs; SEJL 279 s.v. ẽžeras.",no comment,inherited,reliable,original word,indo-european,lake,landscape,yes,modern,no comment,aigars
ezerkalns,house,436 līvāni,unclear,"56,4056","26,1381",0,no,ezerkalns,latvian,yes,,LĢIA 133251,high,no comment,"nom.sg. ȩzȩrkal̂ns 'lake hill.' Also a FN (LUV). | Compound of ȩzȩrs 'lake' and kal̂ns 'mountain, hill.' First element is cognate with Lt. ẽžeras OPr. assaran Ru. ózero OCS jezero a.o. as well as Arm. ezr 'edge, bank.' The inherited r-stem has been thematicized in BS. Second element is cognate with Lt. kálnas and further related to Lat. collis 'mound' Gr. κολωνός 'id.' OE hyll (*hulni-) 'id.' a.o. Suffixal variation suggests an original n-stem *kolH-(e)n-~*kl̥H-n-. Derived from PIE *kel- 'rise.' | ALEW s.v. ẽžeras & kálnas; Derksen 2015, 158 s.v. ežeras; 2015, 221 s.v. kalnas; LEW 125 s.v. ẽžeras; 209 s.v. kálnas; ME 1, 572 s.v. ȩzȩrs; 2, 143 s.v. kal̂ns; SEJL 279 s.v. ẽžeras; 451 s.v. kálnas.",no comment,inherited,reliable,original word,latvian,lake hill,landscape,yes,modern,no comment,aigars
ezerkalns,house,436 līvāni,unclear,"56,4056","26,1381",0,no,ljady azarъ-kolno,russian,n/a,,"LVV 1, 278",high,no comment,"ljady azarъ-kolno 'Azar-Kolno untilled lands.' | Syntagm of dial. ljádo 'untilled land, clearing' and TN Azar-Kolno. Primary element is TN Azar-Kolno which is a rendition of dial. V of Lv. ȩzȩrkal̂ns  'lake hill.' | AK.",no comment,borrowed,reliable,latvian,russian,lake hill,landscape,no,modern,no comment,aigars
ezerkrasti,house,436 līvāni,unclear,"56,2547","26,2129",0,no,ezerkrasti,latvian,unclear,,LĢIA 129738,n/a,no comment,"nom.pl. of ȩzȩrkrasts 'lakeside.' | Compound of ȩzȩrs 'lake' and krasts 'bank.' First element is cognate with Lt. ẽžeras OPr. assaran Ru. ózero OCS jezero a.o. as well as Arm. ezr 'edge, bank.' The inherited r-stem has been thematicized in BS. Also a FN (LUV), cf. Po. Jezioro (ISNP). Second element is cognate with Lt. krãštas 'edge; bank.' Might belong to Lt. krešė́ti 'grow firm.' Also a FN (LUV), cf. HG Ufer (DFD). | ALEW s.v. ẽžeras & krãštas; Derksen 2015, 158 s.v. ežeras; LEW 125 s.v. ẽžeras; 289 s.v. krãštas; ME 1, 572 s.v. ȩzȩrs; 2, 260 s.v. krãštas; SEJL 279 s.v. ẽžeras; 561 s.v. krãštas.",no comment,inherited,reliable,original word,latvian,lakeside,landscape,no,modern,no comment,aigars
ezermala 1,house,450 līksna,unclear,"56,0057","26,3831",0,no,ezermala,latvian,unclear,,LĢIA 131015,n/a,no comment,"nom.sg. ȩzȩrmala 'lakeside.' | Compound of ȩzȩrs 'lake' and mala 'edge.' First element is cognate with Lt. ẽžeras OPr. assaran Ru. ózero OCS jezero a.o. as well as Arm. ezr 'edge, bank.' The inherited r-stem has been thematicized in BS. Also a FN (LUV), cf. Po. Jezioro (ISNP). Second element is cognate with ON mǫl 'gravel; stone embankment' Alb. mal 'mountain' a.o. | ALEW s.v. ẽžeras; Derksen 2015, 158 s.v. ežeras; LEW 125 s.v. ẽžeras; ME 1, 572 s.v. ȩzȩrs & ȩzȩrmala; 2, 555 s.v. I mala; SEJL 279 s.v. ẽžeras.","mala ← ON mǫl or Sw. dial. mal, cf. also Orc. muller 'stony beach' a.o. (de Vries 1977, 401).",inherited,reliable,original word,latvian,lakeside,landscape,no,modern,no comment,aigars
ezermala 2,neighborhood,daugavpils,unclear,"55,8944","26,5054",0,no,ezermala,latvian,unclear,,LĢIA 133737,n/a,no comment,"nom.sg. ȩzȩrmala 'lakeside.' | Compound of ȩzȩrs 'lake' and mala 'edge.' First element is cognate with Lt. ẽžeras OPr. assaran Ru. ózero OCS jezero a.o. as well as Arm. ezr 'edge, bank.' The inherited r-stem has been thematicized in BS. Also a FN (LUV), cf. Po. Jezioro (ISNP). Second element is cognate with ON mǫl 'gravel; stone embankment' Alb. mal 'mountain' a.o. | ALEW s.v. ẽžeras; Derksen 2015, 158 s.v. ežeras; LEW 125 s.v. ẽžeras; ME 1, 572 s.v. ȩzȩrs & ȩzȩrmala; 2, 555 s.v. I mala; SEJL 279 s.v. ẽžeras.","mala ← ON mǫl or Sw. dial. mal, cf. also Orc. muller 'stony beach' a.o. (de Vries 1977, 401).",inherited,reliable,original word,latvian,lakeside,landscape,no,modern,no comment,aigars
ezermali,house,436 līvāni,unclear,"56,4063","26,1439",0,no,ezermaļi,latvian,unclear,,LĢIA 133255,n/a,no comment,"nom.pl. of ȩzȩrmalis 'lakeside dweller.' Also a FN (LUV). | ii̯o-derivation to ȩzȩrmala which is a compound of ȩzȩrs 'lake' and mala 'edge.' First element is cognate with Lt. ẽžeras OPr. assaran Ru. ózero OCS jezero a.o. as well as Arm. ezr 'edge, bank.' The inherited r-stem has been thematicized in BS. Second element is cognate with ON mǫl 'gravel; stone embankment' Alb. mal 'mountain' a.o. | ALEW s.v. ẽžeras; Derksen 2015, 158 s.v. ežeras; LEW 125 s.v. ẽžeras; ME 1, 572 s.v. ȩzȩrs & ȩzȩrmala; 2, 555 s.v. I mala; SEJL 279 s.v. ẽžeras.","ȩzȩrmalis 'lakeside,' compound of ȩzȩrs 'lake' and compositional V of mala 'edge;' mala ← ON mǫl or Sw. dial. mal, cf. also Orc. muller 'stony beach' a.o. (de Vries 1977, 401).",inherited,reliable,original word,latvian,lakeside dweller,landscape,yes,modern,no comment,aigars
ezernieki,house,348 pļaviņas,pļaviņas,"56,5865","25,5909",0,no,ezernieki,latvian,unclear,,LĢIA unreg.,n/a,no comment,,,,,,,,,,,,
ezernieki 1,house,436 līvāni,unclear,"56,2543","26,2115",0,no,ezernìeki,latvian,yes,,"E 1925, 170; LĢIA 129739; LVV 1, 280 s.v. ȩzars",high,no comment,"nom.pl. of ezernieks 'lake dweller.' Also a FN (LUV), cf. Lt. Ežerỹs (LPDB). | nieks-derivation to ȩzȩrs 'lake,' cf. also Lt. ežerniñkas to ẽžeras. Lv. ȩzȩrs is also cognate with OPr. assaran Ru. ózero OCS jezero a.o. as well as Arm. ezr 'edge, bank.' The inherited r-stem has been thematicized in BS. | ALEW s.v. ẽžeras; Derksen 2015, 158; LEW 125; ME 1, 572 s.v. ezernieks & ȩzȩrs; SEJL 279.",no comment,inherited,reliable,original word,latvian,lake dweller,landscape,yes,modern,no comment,aigars
ezernieki 2,village,436 līvāni,unclear,"56,2616","26,2273",0,no,ezernieki,latvian,yes,,AŠĢTD 77,n/a,no comment,"nom.pl. of ezernieks 'lake dweller.' Also a FN (LUV), cf. Lt. Ežerỹs (LPDB). | nieks-derivation to ȩzȩrs 'lake,' cf. also Lt. ežerniñkas to ẽžeras. Lv. ȩzȩrs is also cognate with OPr. assaran Ru. ózero OCS jezero a.o. as well as Arm. ezr 'edge, bank.' The inherited r-stem has been thematicized in BS. | ALEW s.v. ẽžeras; Derksen 2015, 158; LEW 125; ME 1, 572 s.v. ezernieks & ȩzȩrs; SEJL 279.",no comment,inherited,reliable,original word,latvian,lake dweller,landscape,yes,modern,no comment,aigars
ezerruozes,house,436 līvāni,unclear,"56,2576","26,2197",0,no,ezerrozes,latvian,unclear,,LĢIA 129741,n/a,no comment,"nom.-acc.pl. of ȩzȩrruõze 'lake rose.' Also a FN (LUV). | Compound of ȩzȩrs 'lake' and ruõze 'rose.' First element is cognate with Lt. ẽžeras OPr. assaran Ru. ózero OCS jezero a.o. as well as Arm. ezr 'edge, bank.' The inherited r-stem has been thematicized in BS. Also a FN (LUV), cf. Po. Jezioro (ISNP). Second element is borrowed from HG Rose. Also a FN (LUV). | ALEW s.v. ẽžeras; Derksen 2015, 158 s.v. ežeras; LEW 125 s.v. ẽžeras; ME 1, 572 s.v. ȩzȩrs; 3, 586 s.v. I ruõze; SEJL 279 s.v. ẽžeras.",to ruoze 'hillock' (ME 585 s.v. I ruôza).,inherited,possible,original word,latvian,lake rose,landscape; trees and shrubs,yes,modern,no comment,aigars
ezersils,house,436 līvāni,unclear,"56,2566","26,2174",0,no,ezersils,latvian,unclear,,LĢIA 129742,n/a,no comment,"nom.sg. ȩzȩrsils 'lake pinewoods.' | Compound of ȩzȩrs 'lake' and sils 'pinewoods.' First element is cognate with Lt. ẽžeras OPr. assaran Ru. ózero OCS jezero a.o. as well as Arm. ezr 'edge, bank.' The inherited r-stem has been thematicized in BS. Also a FN (LUV), cf. Po. Jezioro (ISNP). Second element is cognate with Lt. šìlas 'pinewoods; heath' and OPr. sylo 'heath.' Inherited as a neuter o-stem. Migth be further related to Gr. σκέλλω 'dry out' or to Ved. śila- 'ears (of corn) left on field.' Also a FN (LUV), cf. Lt. Šìlas (LPDB). | ALEW s.v. ẽžeras & šìlas; Derksen 2015, 158 s.v. ežeras; LEW 125 s.v. ẽžeras; 982 s.v. šìlas; ME 1, 572 s.v. ȩzȩrs; 3, 839 s.v. sils; SEJL 279 s.v. ẽžeras; 1292 s.v. šìlas.",no comment,inherited,reliable,original word,latvian,lake pinewoods,landscape; trees and shrubs,no,modern,no comment,aigars
ezerzeme,house,436 līvāni,unclear,"56,2617","26,2269",0,no,ezerzeme,latvian,unclear,,LĢIA 129743,n/a,no comment,"nom.sg. ȩzȩrzeme 'lake land.' | Compound of ȩzȩrs 'lake' and zeme 'earth, land.' First element is cognate with Lt. ẽžeras OPr. assaran Ru. ózero OCS jezero a.o. as well as Arm. ezr 'edge, bank.' The inherited r-stem has been thematicized in BS. Also a FN (LUV), cf. Po. Jezioro (ISNP). Second element is cognate with Lt. žẽmė OPr. semmē and perhaps OCS zemlja. Further related to Skt. kṣám- Gr. χθών Hitt. tēkan a.o. Originally a root noun which has been transferred to the ē-stem class in Baltic. Also a FN (LUV). | ALEW s.v. ẽžeras & žẽmė; Derksen 2015, 158 s.v. ežeras; 2015, 516 s.v. žemė; LEW 125 s.v. ẽžeras; 1299 s.v. žẽmė; ME 1, 572 s.v. ȩzȩrs; 4, 708 s.v. zeme; SEJL 279 s.v. ẽžeras; 1620 s.v. žẽmė.",no comment,inherited,reliable,original word,latvian,lake land,landscape,no,modern,no comment,aigars
faltopi,village,458 saliena,unclear,"55,8592","26,9525",0,no,faļtopi,latvian,n/a,< 2,LĢIA 954,,no comment,nom.pl. of faļtops 'Feldhof.' | FN?,no comment,,,,,Feldhof,foreign names (germanic),no,modern,no comment,aigars
faltopi,village,458 saliena,unclear,"55,8592","26,9525",0,no,faļtofa,latvian,n/a,< 2,LĢIA 954,,no comment,faļtofa 'Feldhof.' | FN?,no comment,,,,,Feldhof,foreign names (germanic),no,modern,no comment,aigars
faltopi,village,458 saliena,unclear,"55,8592","26,9525",0,no,lauku muiža,latvian,n/a,< 2,LĢIA 954,,no comment,lauku muiža 'country estate.' Gen.pl. of lauks 'field; (pl.) countryside.' Also a FN (LUV). | ,no comment,,,,,countryside,settlement,yes,modern,no comment,aigars
fasisma terora upuru kapi,cemetery,daugavpils,unclear,"55,9054","26,4730",0,no,fašisma terora upuru kapi,latvian,n/a,< 2,LĢIA 133670,,no comment,fašisma terora upuru kapi 'Fascist terror victim cemetery.' Gen.pl. of fašisma terora upurs 'Fascist terror victim.' | Syntagm of gen.sg. of fašisms 'Fascism' and gen.sg. terora 'terror' and upurs 'victim.' | AK.,no comment,,,,,Fascist terror victim,other,no,modern,no comment,aigars
fasisma terora upuru kapi,cemetery,daugavpils,unclear,"55,9054","26,4730",0,no,fašisma upuru kapi,latvian,n/a,< 2,LĢIA 133670,,no comment,fašisma upuru kapi 'Fascism victim cemetery.' Gen.pl. of fašisma upurs 'Fascism victim.' | Syntagm of gen.sg. of fašisms 'Fascism' and upurs 'victim.' | AK.,no comment,,,,,Fascism victim,other,no,modern,no comment,aigars
fasisma terora upuru kapi,cemetery,daugavpils,unclear,"55,9054","26,4730",0,no,nacisma upuru memoriāls,latvian,n/a,< 2,LĢIA 133670,,no comment,nacisma upuru memoriāls 'Nazism victim memorial.' | Syntagm of gen.sg. of nacisms 'Nazism' and gen.pl. of upurs 'victim' and memoriāls 'memorial.' | AK.,no comment,,,,,Nazi victim memorial,other,no,modern,no comment,aigars
fazenda,house,450 līksna,unclear,"55,9790","26,4081",0,no,fazenda,latvian,n/a,< 2,LĢIA 133599,,no comment,fazenda 'countryhouse.' | Borrowed from Port. fazenda 'farm.' | AK.,no comment,,,,,countryhouse,agriculture,no,modern,no comment,aigars
florupite,stream,506 krāslava,unclear,"55,8903","27,1661",0,no,florupīte,latvian,n/a,< 2,LĢIA 96137,,no comment,"florupīte 'veil stream.' Compound of flors 'veil' and D to upe 'river.' Also a FN (LUV). | Borrowed from HG Flor, itself from Fr. velours. | AK.",no comment,,,,,veil,clothing,yes,modern,no comment,aigars
florupite,stream,506 krāslava,unclear,"55,8903","27,1661",0,no,foreles upīte,latvian,n/a,< 2,LĢIA 96137,,no comment,foreles upīte 'trout stream.' Gen.sg. of forele 'trout.' | Borrowed from HG Forelle.,no comment,,,,,trout,fish,no,modern,no comment,aigars
fogta sils,forest,356 ābeļi,unclear,"56,4540","25,9654",0,no,fogta sils,latvian,n/a,< 2,LĢIA 87643,,no comment,fogta sils 'overseer pinewoods.' Gen.sg. of fogts 'overseer.' Also a FN (LUV). | Borrowed from MLG or HG vogt.,no comment,,,,,overseer,administration,yes,modern,no comment,aigars
folvarciesi,village,444 nīcgale (part of 450 līksna until 1936),unclear,"56,0628","26,3764",0,no,folvarcieši,latvian,n/a,< 2,LĢIA 853,,no comment,nom.pl. of folvarcietis 'farm estate laborer.' | ietii̯o-derivation to foļvarks ← Po. folwark 'farm estate.' Ultimately from MHG vorwërc. | AK.,no comment,,,,,farm estate laborer,administration; agriculture,no,modern,no comment,aigars
folvarciesi,village,444 nīcgale (part of 450 līksna until 1936),unclear,"56,0628","26,3764",0,no,foļvarcieši,latvian,n/a,< 2,LĢIA 853,,no comment,nom.pl. of foļvarcietis 'farm estate laborer.' | ietii̯o-derivation to foļvarks ← Ru. fol'vark or Po. folwark 'farm estate.' Ultimately from MHG vorwërc. | AK.,no comment,,,,,farm estate laborer,administration; agriculture,no,modern,no comment,aigars
folvarciesi,village,444 nīcgale (part of 450 līksna until 1936),unclear,"56,0628","26,3764",0,no,poļvarcīši,latvian,n/a,< 2,LĢIA 853,,no comment,nom.pl. of foļvarcietis 'farm estate laborer.' | ietii̯o-derivation to foļvarks ← Ru. fol'vark or Po. folwark 'farm estate.' Ultimately from MHG vorwërc. | AK.,no comment,,,,,farm estate laborer,administration; agriculture,no,modern,no comment,aigars
folvarciesi,village,444 nīcgale (part of 450 līksna until 1936),unclear,"56,0633","26,3730",0,no,foļvarskaja,russian,n/a,< 2,AŠĢTD 78,,no comment,"fen.nom.sg. of fol'varskij 'of farm estate.' | relational ьskъ-adjective to fol'vark 'farm estate' ← MHG vorwërc, perhaps via Po. folwark. | AK.",no comment,,,,,of farm estate,administration; agriculture,no,modern,no comment,aigars
frediji,house,507 skaista (izabelinas until 1925),unclear,"55,8583","27,3153",0,no,frediji,latvian,n/a,< 2,LĢIA unreg.,,no comment,lv fredijs (name),from eng Freddie,borrowed,reliable,english,,Freddie,foreign names,yes,modern,no comment,aigars
gabalins,house,214 katlakalns,unclear,"56,8748","24,2388",,no,gabaliņš,latvian,,,"E 1922, 43 (standardized)",,,"D to gabals 'piece.' Also a FN, cf. Gabaliņš Gabals (LUV). | to gabana 'armful' to Lat habeō a.o. (ME 1, 580) | ME 1, 579.",no comment,,,,,piece,other,yes,modern,no comment,aigars
gabalins,house,214 katlakalns,unclear,"56,8748","24,2388",,no,gabaliņi,latvian,,0,AŠĢTD 39,,likely match,"nom.pl. of D to gabals 'piece.' Also a FN, cf. Gabaliņš Gabals (LUV). | to gabana 'armful' to Lat habeō a.o. (ME 1, 580) | ME 1, 579.",no comment,,,,,piece,other,yes,modern,no comment,aigars
gaduolini,house,357 krustpils,unclear,"56,5947","25,7771",500,no,gadoliņi,latvian,n/a,< 2,AŠĢTD 67,,no comment,,,,,,,,,,,,
gaidas 1,house,348 pļaviņas,pļaviņas,"56,5849","25,5984",0,no,gaidas,latvian,unclear,,LĢIA unreg.,n/a,no comment,,,,,,,,,,,,
gaidas 2,house,509 kaplava (borna~borne until 1925),unclear,"55,8330","27,3143",0,no,gaidas,latvian,n/a,< 2,LĢIA 125830,,extant,"lv gaida 'waiting, expectation' (ME 1, 582)","to gàidît 'wait' (ME 1, 583)",inherited,possible,latvian,,waiting; expectation,feelings; other,no,modern,no comment,aigars
